Sep  7 00:40:47 Dawids-MacBook-Air newsyslog[24685]: logfile turned over
Sat Sep  7 00:40:48.084 Usb Host Notification Apple80211Set: seqNum 1610 Total 8 chg 1 en0
Sat Sep  7 00:40:48.220 Usb Host Notification Apple80211Set: seqNum 1611 Total 8 chg 1 en0
Sat Sep  7 00:50:43.640 [airport] @[461589.087624] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.087309], took 0.000307
Sat Sep  7 00:50:43.641 [airport] @[461589.087765] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.641 [airport] @[461589.087831] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.087756], took 0.000065
Sat Sep  7 00:50:43.641 [airport] @[461589.088463] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.641 [airport] @[461589.088547] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.088452], took 0.000085
Sat Sep  7 00:50:43.642 [airport] @[461589.089106] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.643 [airport] @[461589.089993] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.089092], took 0.000747
Sat Sep  7 00:50:43.643 [airport] @[461589.090064] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.643 [airport] @[461589.090114] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.090053], took 0.000053
Sat Sep  7 00:50:43.643 [airport] @[461589.090249] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.651 [airport] @[461589.098155] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.090230], took 0.007906
Sat Sep  7 00:50:43.651 [airport] @[461589.098270] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.651 [airport] @[461589.098350] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.098251], took 0.000089
Sat Sep  7 00:50:43.651 [airport] @[461589.098390] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.651 [airport] @[461589.098450] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.098380], took 0.000061
